Unique_id,Links,Name,Ratings,Price_for_one,Cuisine
131,https://www.zomato.com/bangalore/sardarji-londonwaley-koramangala-7th-block-bangalore/order,Sardarji Londonwaley,3.7,200,"North Indian, Chinese, Mughlai"
132,https://www.zomato.com/bangalore/gopizza-2-banaswadi-bangalore/order,GOPIZZA,4.1,300,"Pizza, Fast Food"
133,https://www.zomato.com/bangalore/namaste-btm-bangalore/order,Namaste,4,300,"South Indian, Beverages, Chinese"
134,https://www.zomato.com/bangalore/rolls-kitchen-rajajinagar/order,Rolls Kitchen,4.1,300,"Fast Food, Rolls, Beverages, Chinese"
135,https://www.zomato.com/bangalore/big-bowl-company-hosur-road-bangalore/order,Big Bowl Company,3.7,300,"North Indian, Chinese, Biryani, Fast Food, Momos, Sichuan"
136,https://www.zomato.com/bangalore/just-bake-seshadripuram/order,Just Bake,4.1,300,"Bakery, Desserts, Street Food"
137,https://www.zomato.com/bangalore/donne-biryani-mane-koramangala-4th-block-bangalore/order,Donne Biryani Mane,4.1,300,"Biryani, South Indian"
138,https://www.zomato.com/bangalore/yumlane-pizza-koramangala-5th-block-bangalore/order,Yumlane Pizza,4,300,"Pizza, Fast Food, Desserts, Beverages"
139,https://www.zomato.com/bangalore/the-bake-feast-indiranagar-bangalore/order,The Bake Feast,4.1,300,"Bakery, Desserts"
140,https://www.zomato.com/bangalore/delicacy-frazer-town/order,Delicacy,3.7,300,"Chinese, Thai"
141,https://www.zomato.com/bangalore/savoury-restaurant-1-frazer-town/order,Savoury Restaurant,4.1,300,"Arabian, Mughlai, North Indian, Chinese, Fast Food, Beverages, Shake, Desserts"
142,https://www.zomato.com/bangalore/7-plates-frazer-town/order,7 Plates,4,300,"North Indian, Mughlai, Rolls, Chinese"
143,https://www.zomato.com/bangalore/chinese-bae-rt-nagar-bangalore/order,Chinese BAE,3.8,300,"Chinese, Seafood, Momos, Sichuan"
144,https://www.zomato.com/bangalore/mandya-nati-style-vijay-nagar-bangalore/order,Mandya Nati Style,3.6,200,"South Indian, Biryani"
145,https://www.zomato.com/bangalore/ctr-shri-sagar-malleshwaram-bangalore/order,CTR Shri Sagar,4.4,200,South Indian
146,https://www.zomato.com/bangalore/antarastriya-rajajinagar-bangalore/order,Antarastriya,3.8,200,"Chinese, Fast Food, Mexican, Italian, Beverages, Juices"
147,https://www.zomato.com/bangalore/wow-china-church-street-bangalore/order,WOW! China,3.8,200,"Chinese, Rolls, Seafood, Desserts, Shake, Sichuan"
148,https://www.zomato.com/bangalore/the-dessert-heaven-pure-veg-koramangala-6th-block-bangalore/order,The Dessert Heaven - Pure Veg,4.3,200,"Desserts, Bakery"
149,https://www.zomato.com/bangalore/aubree-shivajinagar-bangalore/order,Aubree,4.3,200,"Bakery, Fast Food, Italian, Thai, Desserts"
150,https://www.zomato.com/bangalore/brahmins-thatte-idli-malleshwaram-bangalore/order,Brahmins' Thatte Idli,4.3,200,South Indian
151,https://www.zomato.com/bangalore/e2p-italian-pizza-burger-basaveshwara-nagar-bangalore/order,E2P Italian Pizza & Burger,3.7,200,"Pizza, Fast Food, Pasta, Sandwich, Burger, Desserts, Beverages"
152,https://www.zomato.com/bangalore/cake-n-chef-bannerghatta-road-bangalore/order,Cake N Chef,4,200,"Bakery, Desserts"
153,https://www.zomato.com/bangalore/99-variety-dosa-pav-bhaji-koramangala-6th-block-bangalore/order,99 Variety Dosa & Pav Bhaji,3.8,200,"South Indian, Maharashtrian"
154,https://www.zomato.com/bangalore/karnataka-bhel-house-basavanagudi/order,Karnataka Bhel House,4.3,200,"Street Food, Ice Cream"
155,https://www.zomato.com/bangalore/hyderabad-biryani-house-malleshwaram-bangalore/order,Hyderabad Biryani House,4,200,"North Indian, Hyderabadi, Chinese, Biryani, Mughlai, Desserts, Beverages, Shake"
156,https://www.zomato.com/bangalore/third-wave-coffee-lavelle-road-bangalore/order,Third Wave Coffee,3.8,250,"Cafe, Beverages, Desserts, Coffee, Tea, Pizza, Fast Food"
157,https://www.zomato.com/bangalore/keventers-milkshakes-desserts-brigade-road-bangalore/order,Keventers - Milkshakes & Desserts,4.3,250,"Shake, Beverages, Ice Cream"
158,https://www.zomato.com/bangalore/lunchbox-meals-and-thalis-vasanth-nagar-bangalore/order,LunchBox - Meals and Thalis,3.9,250,North Indian
159,https://www.zomato.com/bangalore/pizza-house-1-rt-nagar-bangalore/order,Pizza House,4.1,250,"Pizza, Fast Food, Burger"
160,https://www.zomato.com/bangalore/chef-bakers-koramangala-7th-block-bangalore/order,Chef Bakers,3.8,250,"Bakery, Fast Food, Pizza, Sandwich, Burger, Desserts"
161,https://www.zomato.com/bangalore/anjappar-brigade-road-bangalore/order,Anjappar,3.9,250,"South Indian, Chettinad, Biryani, Seafood, Chinese, North Indian, Desserts, Beverages"
162,https://www.zomato.com/bangalore/ambur-biryani-point-koramangala-8th-block-bangalore/order,Ambur Biryani Point,3.8,250,"Biryani, Fast Food"
163,https://www.zomato.com/bangalore/kaapi-katte-malleshwaram/order,Kaapi Katte,3.6,250,"South Indian, Beverages"
164,https://www.zomato.com/bangalore/rotti-walla-indiranagar-bangalore/order,Rotti Walla,3.9,250,"North Indian, South Indian, Chinese, Mughlai, Biryani, Fast Food, Beverages, Desserts"
165,https://www.zomato.com/bangalore/great-indian-khichdi-by-eatfit-cunningham-road-bangalore/order,Great Indian Khichdi by EatFit,4,250,"Healthy Food, North Indian, Ice Cream, Desserts, Beverages"
166,https://www.zomato.com/bangalore/puliyogare-point-basavanagudi/order,Puliyogare Point,4.3,250,"South Indian, Desserts"
167,https://www.zomato.com/bangalore/nh1-bowls-highway-to-north-langford-town-bangalore/order,NH1 Bowls - Highway To North,4.5,250,"North Indian, Fast Food, Desserts, Beverages"
168,https://www.zomato.com/bangalore/hari-super-sandwich-btm-bangalore/order,Hari Super Sandwich,4.1,100,"Sandwich, Fast Food"
169,https://www.zomato.com/bangalore/biryani-blues-church-street-bangalore/order,Biryani Blues,4.2,100,"Biryani, Kebab, Hyderabadi"
170,https://www.zomato.com/bangalore/ambur-darbar-biriyani-point-yeshwantpur/order,Ambur Darbar Biriyani Point,4,100,"Biryani, Kebab"
171,https://www.zomato.com/bangalore/texas-burgers-thippasandra-bangalore/order,Texas Burgers,4.1,100,Burger
172,https://www.zomato.com/bangalore/d-zaprino-rajajinagar-bangalore/order,D-Zaprino,3.8,100,"Fast Food, Street Food, Biryani, Desserts, Beverages"
173,https://www.zomato.com/bangalore/99-varieties-dosa-pav-bhaji-btm-bangalore/order,99 Varieties Dosa & Pav Bhaji,3.7,100,South Indian
174,https://www.zomato.com/bangalore/ande-ka-funda-2-btm-bangalore/order,Ande Ka Funda,3.7,100,"North Indian, Rolls, Chinese"
175,https://www.zomato.com/bangalore/natraj-chole-bhature-indiranagar-bangalore/order,Natraj Chole Bhature,4.1,100,North Indian
176,https://www.zomato.com/bangalore/just-cakes-koramangala-7th-block-bangalore/order,Just Cakes,3.7,100,"Bakery, Desserts"
